Item,Toxic Pollutant,Embodied Carbon (kg CO2e),Emitted Carbon (kg CO2e),Disposal Point,Health Impact,How to recycle
Sunscreen,Oxybenzone,0.2,0.04,Sewage Treatment,Endocrine disruption,Recyclable plastic containers if empty and clean
Moisturizer,Parabens,0.15,0.03,Household Hazardous Waste,Hormone disruption,"Not recyclable, take to hazardous waste collection"
Hair Gel,Phthalates,0.1,0.02,Sewage Treatment,Reproductive issues,"Not recyclable, dispose of in regular trash"
Printer Ink,Heavy Metals,0.25,0.05,Recycling,Environmental toxicity,"Not recyclable, dispose of in regular trash if container is empty"
Correction Fluid,Toluene,0.1,0.02,Household Hazardous Waste,Neurological effects,"Not recyclable, dispose of in regular trash"
Highlighters,Xylene,0.05,0.01,Household Hazardous Waste,Respiratory problems,Empty aerosol cans can be recycled with metal recycling. Remove the cap and ensure the can is empty.
Adhesive Glue,Cyanoacrylate,0.2,0.04,Landfill,Irritation to skin and eyes,Plastic lip balm tubes can be recycled if cleaned and cut into small pieces. Check with local facilities for specific recycling programs
Whiteboard Markers,Methyl Isobutyl Ketone,0.15,0.03,Household Hazardous Waste,Respiratory issues,Some toothpaste tubes can be recycled if they are cleaned and empty. Check with local recycling programs or use mail-in recycling services
Hair Spray,Phthalates,0.2,0.04,Recycling,Respiratory issues,Plastic deodorant containers can be recycled if they are clean and empty. Aerosol deodorant cans can be recycled with metal recycling once empty
Lip Balm,Lead,0.05,0.01,Household Hazardous Waste,Neurotoxicity,Plastic conditioner bottles can be recycled with plastic recycling if they are empty and clean. Check with local recycling guidelines
Toothpaste,Triclosan,0.15,0.03,Sewage Treatment,Endocrine disruption,Plastic mouthwash bottles can be recycled if they are empty and clean. Rinse thoroughly before recycling
Deodorant,Aluminum Compounds,0.1,0.02,Landfill,Respiratory irritation,Plastic facial cleanser containers can be recycled if they are empty and clean. Check with local recycling programs or use mail-in recycling services
Conditioner,Silicones,0.1,0.02,Sewage Treatment,Non-biodegradable,Plastic body wash bottles can be recycled with plastic recycling if they are empty and clean. Check with local recycling guidelines
Mouthwash,Chlorhexidine,0.15,0.03,Sewage Treatment,Can cause staining of teeth,Glass aftershave bottles can be recycled with glass recycling. Plastic aftershave containers can be recycled with plastic recycling if they are empty and clean
Facial Cleanser,Triclosan,0.2,0.04,Sewage Treatment,Endocrine disruption,"coming soon ..."
Body Wash,Sodium Laureth Sulfate,0.1,0.02,Sewage Treatment,Irritation to skin and eyes,"coming soon ..."
Aftershave,Isopropyl Alcohol,0.05,0.01,Household Hazardous Waste,Skin and eye irritation,"coming soon ..."
